Titre Français,Titre Anglais,Année,Pochette,Disque Français,Disque Anglais,Audio Français,Audio Anglais,Double,Dernier Épisode Visionné,Année(s) saison,Dernière saison
All of Us Are Dead - Saison 01 - Épisode 03,All of Us Are Dead - Season 01 - Episode 03,2022,,D,D,N:\All of Us Are Dead - Saison 01\All.of.Us.Are.Dead.S01E03.MULTi.1080p.WEBRip.x265-SceneGuardians.mkv,N:\All of Us Are Dead - Saison 01\All.of.Us.Are.Dead.S01E03.MULTi.1080p.WEBRip.x265-SceneGuardians.mkv,,,,
All of Us Are Dead - Saison 01 - Épisode 04,All of Us Are Dead - Season 01 - Episode 04,2022,,D,D,N:\All of Us Are Dead - Saison 01\All.of.Us.Are.Dead.S01E04.MULTi.1080p.WEBRip.x265-SceneGuardians.mkv,N:\All of Us Are Dead - Saison 01\All.of.Us.Are.Dead.S01E04.MULTi.1080p.WEBRip.x265-SceneGuardians.mkv,,,,
All of Us Are Dead - Saison 01 - Épisode 05,All of Us Are Dead - Season 01 - Episode 05,2022,,D,D,N:\All of Us Are Dead - Saison 01\All.of.Us.Are.Dead.S01E05.MULTi.1080p.WEBRip.x265-SceneGuardians.mkv,N:\All of Us Are Dead - Saison 01\All.of.Us.Are.Dead.S01E05.MULTi.1080p.WEBRip.x265-SceneGuardians.mkv,,,,
All of Us Are Dead - Saison 01 - Épisode 06,All of Us Are Dead - Season 01 - Episode 06,2022,,D,D,N:\All of Us Are Dead - Saison 01\All.of.Us.Are.Dead.S01E06.MULTi.1080p.WEBRip.x265-SceneGuardians.mkv,N:\All of Us Are Dead - Saison 01\All.of.Us.Are.Dead.S01E06.MULTi.1080p.WEBRip.x265-SceneGuardians.mkv,,,,
All of Us Are Dead - Saison 01 - Épisode 07,All of Us Are Dead - Season 01 - Episode 07,2022,,D,D,N:\All of Us Are Dead - Saison 01\All.of.Us.Are.Dead.S01E07.MULTi.1080p.WEBRip.x265-SceneGuardians.mkv,N:\All of Us Are Dead - Saison 01\All.of.Us.Are.Dead.S01E07.MULTi.1080p.WEBRip.x265-SceneGuardians.mkv,,,,
All of Us Are Dead - Saison 01 - Épisode 08,All of Us Are Dead - Season 01 - Episode 08,2022,,D,D,N:\All of Us Are Dead - Saison 01\All.of.Us.Are.Dead.S01E08.MULTi.1080p.WEBRip.x265-SceneGuardians.mkv,N:\All of Us Are Dead - Saison 01\All.of.Us.Are.Dead.S01E08.MULTi.1080p.WEBRip.x265-SceneGuardians.mkv,,,,
All of Us Are Dead - Saison 01 - Épisode 09,All of Us Are Dead - Season 01 - Episode 09,2022,,D,D,N:\All of Us Are Dead - Saison 01\All.of.Us.Are.Dead.S01E09.MULTi.1080p.WEBRip.x265-SceneGuardians.mkv,N:\All of Us Are Dead - Saison 01\All.of.Us.Are.Dead.S01E09.MULTi.1080p.WEBRip.x265-SceneGuardians.mkv,,,,
All of Us Are Dead - Saison 01 - Épisode 10,All of Us Are Dead - Season 01 - Episode 10,2022,,D,D,N:\All of Us Are Dead - Saison 01\All.of.Us.Are.Dead.S01E10.MULTi.1080p.WEBRip.x265-SceneGuardians.mkv,N:\All of Us Are Dead - Saison 01\All.of.Us.Are.Dead.S01E10.MULTi.1080p.WEBRip.x265-SceneGuardians.mkv,,,,
All of Us Are Dead - Saison 01 - Épisode 11,All of Us Are Dead - Season 01 - Episode 11,2022,,D,D,N:\All of Us Are Dead - Saison 01\All.of.Us.Are.Dead.S01E11.MULTi.1080p.WEBRip.x265-SceneGuardians.mkv,N:\All of Us Are Dead - Saison 01\All.of.Us.Are.Dead.S01E11.MULTi.1080p.WEBRip.x265-SceneGuardians.mkv,,,,
All of Us Are Dead - Saison 01 - Épisode 12,All of Us Are Dead - Season 01 - Episode 12,2022,,D,D,N:\All of Us Are Dead - Saison 01\All.of.Us.Are.Dead.S01E12.MULTi.1080p.WEBRip.x265-SceneGuardians.mkv,N:\All of Us Are Dead - Saison 01\All.of.Us.Are.Dead.S01E12.MULTi.1080p.WEBRip.x265-SceneGuardians.mkv,,,,
Aller Simple,Aller Simple,2022,Picture 5414,E,,,,,,,2022
Aller Simple - 01 Tomber,Aller Simple - 01 Tomber,2022,,E,,K:\Aller Simple\Aller.Simple.S01E01.VFQ.720p.WebRIP.x264-XMPQ.mp4,,,,,
Aller Simple - 02 Épier,Aller Simple - 02 Épier,2022,,E,,K:\Aller Simple\Aller.Simple.S01E02.VFQ.720p.WebRIP.x264-XMPQ.mp4,,,,,
Aller Simple - 03 Trahir,Aller Simple - 03 Trahir,2022,,E,,K:\Aller Simple\Aller.Simple.S01E03.VFQ.720p.WebRIP.x264-XMPQ.mp4,,,,,
Aller Simple - 04 Fuir,Aller Simple - 04 Fuir,2022,,E,,K:\Aller Simple\Aller.Simple.S01E04.VFQ.720p.WebRIP.x264-XMPQ.mp4,,,,,
Aller Simple - 05 Corriger,Aller Simple - 05 Corriger,2022,,E,,K:\Aller Simple\Aller.Simple.S01E05.VFQ.720p.WebRIP.x264-XMPQ.mp4,,,,,
Aller Simple - 06 Mourir,Aller Simple - 06 Mourir,2022,,E,,K:\Aller Simple\Aller.Simple.S01E06.FiNAL.VFQ.720p.WebRIP.x264-XMPQ.mp4,,,,,
À l'Aube de Notre Histoire,Ancient Apocalypse,2022,Picture 5763,E,E,,,,,,2022
À l'Aube de Notre Histoire - 01 Il y eut un déluge,Ancient Apocalypse - 01 Once There Was a Flood,2022,,E,E,E:\À l'Aube de Notre Histoire\À l_aube de notre histoire_S01E01_Il y eut un déluge.mkv,E:\À l'Aube de Notre Histoire\À l_aube de notre histoire_S01E01_Il y eut un déluge.mkv,,,,
À l'Aube de Notre Histoire - 02 Les étrangers du chaos,Ancient Apocalypse - 02 Stranger in a Time of Chaos,2022,,E,E,E:\À l'Aube de Notre Histoire\À l_aube de notre histoire_S01E02_Les étrangers du chaos.mkv,E:\À l'Aube de Notre Histoire\À l_aube de notre histoire_S01E02_Les étrangers du chaos.mkv,,,,
À l'Aube de Notre Histoire - 03 Quand Sirius se lève,Ancient Apocalypse - 03 Sirius Rising,2022,,E,E,E:\À l'Aube de Notre Histoire\À l_aube de notre histoire_S01E03_Quand Sirius se lève.mkv,E:\À l'Aube de Notre Histoire\À l_aube de notre histoire_S01E03_Quand Sirius se lève.mkv,,,,
À l'Aube de Notre Histoire - 04 Les fantômes d'un monde englouti,Ancient Apocalypse - 04 Ghosts of a Drowned World,2022,,E,E,E:\À l'Aube de Notre Histoire\À l_aube de notre histoire_S01E04_Les fantômes d_un monde englouti.mkv,E:\À l'Aube de Notre Histoire\À l_aube de notre histoire_S01E04_Les fantômes d_un monde englouti.mkv,,,,
À l'Aube de Notre Histoire - 05 L'héritage des sages,Ancient Apocalypse - 05 Legacy of the Sages,2022,,E,E,E:\À l'Aube de Notre Histoire\À l_aube de notre histoire_S01E05_L_héritage des sages.mkv,E:\À l'Aube de Notre Histoire\À l_aube de notre histoire_S01E05_L_héritage des sages.mkv,,,,
À l'Aube de Notre Histoire - 06 La civilisation perdue d'Amérique,Ancient Apocalypse - 06 America's Lost Civilization,2022,,E,E,E:\À l'Aube de Notre Histoire\À l_aube de notre histoire_S01E06_La civilisation perdue d_Amérique.mkv,E:\À l'Aube de Notre Histoire\À l_aube de notre histoire_S01E06_La civilisation perdue d_Amérique.mkv,,,,
À l'Aube de Notre Histoire - 07 Un hiver meurtrier,Ancient Apocalypse - 07 A Fatal Winter,2022,,E,E,E:\À l'Aube de Notre Histoire\À l_aube de notre histoire_S01E07_Un hiver meurtrier.mkv,E:\À l'Aube de Notre Histoire\À l_aube de notre histoire_S01E07_Un hiver meurtrier.mkv,,,,
À l'Aube de Notre Histoire - 08 Cataclysme et renaissance,Ancient Apocalypse - 08 Cataclysm and Rebirth,2022,,E,E,E:\À l'Aube de Notre Histoire\À l_aube de notre histoire_S01E08_Cataclysme et renaissance.mkv,E:\À l'Aube de Notre Histoire\À l_aube de notre histoire_S01E08_Cataclysme et renaissance.mkv,,,,
Andor,Andor,2022,Picture 5765,E,E,,,,,,
Andor - Saison 01,Andor - Season 01,2022,,E,E,,,,,2022,
Andor - Saison 01 - 01 Kassa,Andor - Season 01 - 01 Kassa,2022,,E,E,K:\Andor - Saison 01\Andor.S01E01.MULTI.1080p.WEBRip.DDP5.1.x265.mkv,K:\Andor - Saison 01\Andor.S01E01.MULTI.1080p.WEBRip.DDP5.1.x265.mkv,,,,
Andor - Saison 01 - 02 C’est bien moi,Andor - Season 01 - 02 That Would Be Me,2022,,E,E,K:\Andor - Saison 01\Andor.S01E02.MULTI.1080p.WEBRip.DDP5.1.x265.mkv,K:\Andor - Saison 01\Andor.S01E02.MULTI.1080p.WEBRip.DDP5.1.x265.mkv,,,,
Andor - Saison 01 - 03 Estimation,Andor - Season 01 - 03 Reckoning,2022,,E,E,K:\Andor - Saison 01\Andor.S01E03.MULTI.1080p.WEBRip.DDP5.1.x265.mkv,K:\Andor - Saison 01\Andor.S01E03.MULTI.1080p.WEBRip.DDP5.1.x265.mkv,,,,
Andor - Saison 01 - 04 Aldhani,Andor - Season 01 - 04 Aldhani,2022,,E,E,K:\Andor - Saison 01\Andor.S01E04.MULTI.1080p.WEBRip.DDP5.1.x265.mkv,K:\Andor - Saison 01\Andor.S01E04.MULTI.1080p.WEBRip.DDP5.1.x265.mkv,,,,
Andor - Saison 01 - 05 La Hache oublie,Andor - Season 01 - 05 The Axe Forgets,2022,,E,E,K:\Andor - Saison 01\Andor.S01E05.MULTI.1080p.WEBRip.DDP5.1.x265.mkv,K:\Andor - Saison 01\Andor.S01E05.MULTI.1080p.WEBRip.DDP5.1.x265.mkv,,,,
Andor - Saison 01 - 06 L’Œil,Andor - Season 01 - 06 The Eye,2022,,E,E,K:\Andor - Saison 01\Andor.S01E06.MULTI.1080p.WEBRip.DDP5.1.x265.mkv,K:\Andor - Saison 01\Andor.S01E06.MULTI.1080p.WEBRip.DDP5.1.x265.mkv,,,,
Andor - Saison 01 - 07 L'Annonce,Andor - Season 01 - 07 Announcement,2022,,E,E,K:\Andor - Saison 01\Andor.S01E07.MULTI.1080p.WEBRip.DDP5.1.x265.mkv,K:\Andor - Saison 01\Andor.S01E07.MULTI.1080p.WEBRip.DDP5.1.x265.mkv,,,,
Andor - Saison 01 - 08 Narkina 5,Andor - Season 01 - 08 Narkina 5,2022,,E,E,K:\Andor - Saison 01\Andor.S01E08.MULTI.1080p.WEBRip.DDP5.1.x265.mkv,K:\Andor - Saison 01\Andor.S01E08.MULTI.1080p.WEBRip.DDP5.1.x265.mkv,,,,
Andor - Saison 01 - 09 Personne n’écoute,Andor - Season 01 - 09 Nobody's Listening!,2022,,E,E,K:\Andor - Saison 01\Andor.S01E09.MULTI.1080p.WEBRip.DDP5.1.x265.mkv,K:\Andor - Saison 01\Andor.S01E09.MULTI.1080p.WEBRip.DDP5.1.x265.mkv,,,,
Andor - Saison 01 - 10 Une seule issue,Andor - Season 01 - 10 One Way Out,2022,,E,E,K:\Andor - Saison 01\Andor.S01E10.MULTI.1080p.WEBRip.DDP5.1.x265.mkv,K:\Andor - Saison 01\Andor.S01E10.MULTI.1080p.WEBRip.DDP5.1.x265.mkv,,,,
Andor - Saison 01 - 11 La Communauté des filles des colons,Andor - Season 01 - 11 Daughter of Ferrix,2022,,E,E,K:\Andor - Saison 01\Andor.S01E11.MULTI.1080p.WEBRip.DDP5.1.x265.mkv,K:\Andor - Saison 01\Andor.S01E11.MULTI.1080p.WEBRip.DDP5.1.x265.mkv,,,,
Andor - Saison 01 - 12 Rix Road,Andor - Season 01 - 12 Rix Road,2022,,E,E,K:\Andor - Saison 01\Andor.S01E12.FiNAL.MULTI.1080p.WEBRip.DDP5.1.x265.mkv,K:\Andor - Saison 01\Andor.S01E12.FiNAL.MULTI.1080p.WEBRip.DDP5.1.x265.mkv,,,,
Archive 81,Archive 81,2022,Picture 5369,D,D,,,,,,
Archive 81 - Saison 01,Archive 81 - Season 01,2022,,D,D,,,,,2022,
Archive 81 - Saison 01 - 01 Mystérieux signaux,Archive 81 - Season 01 - 01 Mystery Signals,2022,,D,D,N:\Archive 81 - Saison 01\Archive.81.S01E01.MULTi.1080p.NF.WEB-DL.DDP5.1.x.264-FRATERNiTY.mkv,N:\Archive 81 - Saison 01\Archive.81.S01E01.MULTi.1080p.NF.WEB-DL.DDP5.1.x.264-FRATERNiTY.mkv,,,,
Archive 81 - Saison 01 - 02 Wellspring,Archive 81 - Season 01 - 02 Wellspring,2022,,D,D,N:\Archive 81 - Saison 01\Archive.81.S01E02.MULTi.1080p.NF.WEB-DL.DDP5.1.x.264-FRATERNiTY.mkv,N:\Archive 81 - Saison 01\Archive.81.S01E02.MULTi.1080p.NF.WEB-DL.DDP5.1.x.264-FRATERNiTY.mkv,,,,
Archive 81 - Saison 01 - 03 Les allées de la terreur,Archive 81 - Season 01 - 03 Terror in the Aisles,2022,,D,D,N:\Archive 81 - Saison 01\Archive.81.S01E03.MULTi.1080p.NF.WEB-DL.DDP5.1.x.264-FRATERNiTY.mkv,N:\Archive 81 - Saison 01\Archive.81.S01E03.MULTi.1080p.NF.WEB-DL.DDP5.1.x.264-FRATERNiTY.mkv,,,,
Archive 81 - Saison 01 - 04 Récepteurs d'esprits,Archive 81 - Season 01 - 04 Spirit Receivers,2022,,D,D,N:\Archive 81 - Saison 01\Archive.81.S01E04.MULTi.1080p.NF.WEB-DL.DDP5.1.x.264-FRATERNiTY.mkv,N:\Archive 81 - Saison 01\Archive.81.S01E04.MULTi.1080p.NF.WEB-DL.DDP5.1.x.264-FRATERNiTY.mkv,,,,
Archive 81 - Saison 01 - 05 De l'autre côté du miroir,Archive 81 - Season 01 - 05 Throught the Looking Glass,2022,,D,D,N:\Archive 81 - Saison 01\Archive.81.S01E05.MULTi.1080p.NF.WEB-DL.DDP5.1.x.264-FRATERNiTY.mkv,N:\Archive 81 - Saison 01\Archive.81.S01E05.MULTi.1080p.NF.WEB-DL.DDP5.1.x.264-FRATERNiTY.mkv,,,,
Archive 81 - Saison 01 - 06 Le cercle,Archive 81 - Season 01 - 06 The Circle,2022,,D,D,N:\Archive 81 - Saison 01\Archive.81.S01E06.MULTi.1080p.NF.WEB-DL.DDP5.1.x.264-FRATERNiTY.mkv,N:\Archive 81 - Saison 01\Archive.81.S01E06.MULTi.1080p.NF.WEB-DL.DDP5.1.x.264-FRATERNiTY.mkv,,,,
Archive 81 - Saison 01 - 07 Le passeur,Archive 81 - Season 01 - 07 The Ferryman,2022,,D,D,N:\Archive 81 - Saison 01\Archive.81.S01E07.MULTi.1080p.NF.WEB-DL.DDP5.1.x.264-FRATERNiTY.mkv,N:\Archive 81 - Saison 01\Archive.81.S01E07.MULTi.1080p.NF.WEB-DL.DDP5.1.x.264-FRATERNiTY.mkv,,,,
Archive 81 - Saison 01 - 08 L'autre monde,Archive 81 - Season 01 - 08 What Lies Beneath,2022,,D,D,N:\Archive 81 - Saison 01\Archive.81.S01E08.FiNAL.MULTi.1080p.NF.WEB-DL.DDP5.1.x.264-FRATERNiTY.mkv,N:\Archive 81 - Saison 01\Archive.81.S01E08.FiNAL.MULTi.1080p.NF.WEB-DL.DDP5.1.x.264-FRATERNiTY.mkv,,,,
L'Oiseau Noir,Black Bird,2022,Picture 5594,E,E,,,,,,2022
L'Oiseau Noir - 01 Pilote,Black Bird - 01 Pilot,2022,,E,E,E:\L'Oiseau Noir\Black.Bird.S01E01.MULTi.1080p.ATVP.WEBRip.DDP5.1.x265-R3MiX.mkv,E:\L'Oiseau Noir\Black.Bird.S01E01.MULTi.1080p.ATVP.WEBRip.DDP5.1.x265-R3MiX.mkv,,,,
"L'Oiseau Noir - 02 Nous voilà, père Abraham","Black Bird - 02 We Are Coming, Father Abraham",2022,,E,E,E:\L'Oiseau Noir\Black.Bird.S01E02.MULTi.1080p.ATVP.WEBRip.DDP5.1.x265-R3MiX.mkv,E:\L'Oiseau Noir\Black.Bird.S01E02.MULTi.1080p.ATVP.WEBRip.DDP5.1.x265-R3MiX.mkv,,,,
