Titre Français,Titre Anglais,Année,Pochette,Disque Français,Disque Anglais,Résumé
Douze Hommes en Colère,12 Angry Men,1957,Picture 75,N,N,"Aux États-Unis, un jury de douze hommes doit statuer, à l'unanimité, sur le sort d'un jeune homme accusé de parricide. S'il est jugé coupable, c'est la chaise électrique qui l'attend. Onze jurés le pensent coupable. Seul le huitième, un architecte, n'est pas certain de la culpabilité de l'accusé et a de sérieux doutes. Il expose fermement ses doutes. Le témoin oculaire dit avoir vu la scène depuis son lit, par la fenêtre, alors qu'il n'avait pas ses lunettes. Le témoin auditif dit avoir entendu le corps tomber et le garçon crier « Je vais te tuer », alors que le bruit du métro ne permettait pas d'entendre. Et des failles existent dans l'enquête, comme le couteau qui a été utilisé : selon les enquêteurs, c'était une pièce unique alors que le couteau à cran d'arrêt est trouvable pour six dollars dans une boutique de prêt sur gages. Toutes ces failles et ces contradictions permettent au juré numéro huit, grâce à son éloquence, de renverser les convictions des autres jurés un par un, situation qui sert de révélateur des motivations et des préjugés d'hommes issus de milieux différents."
Les 12 Plaies de l'Apocalypse,12 Disasters,2012,Picture 2843,B,,"Alors que la petite ville de Calvary s'apprête à fêter Noël, une étrange étoile noire apparaît dans le ciel. S'ensuit alors une succession de catastrophes naturelles... L'étoile noire serait un signe de la fin du monde ! Un groupe d'individus s'organise pour éviter que cela se produise."
Piégé avec ma Soeur,12 Feet Deep,2017,Picture 4690,D,D,Deux soeurs se retrouvent prises au piège sous la bâche d'une piscine publique. 
12 Singes,12 Monkeys,1995,Picture 12,N,N,"En 1996, la surface de la Terre est devenue invivable pour l'humanité. Un virus mortel d'origine inconnue a tué 5 milliards d'humains et a contraint les survivants — 1 % de la population mondiale — à vivre sous terre pour éviter leur contamination. En 2035, pour tenter de trouver un remède au virus, des scientifiques utilisent des prisonniers et les envoient dans le passé recueillir des informations sur la forme non mutée du virus. L'un d'eux, James Cole (Bruce Willis), est choisi pour une expérience ayant pour but de l'amener en 1996. Il doit y recueillir des informations au sujet de ce virus, dont les scientifiques pensent qu'il a été libéré par une organisation terroriste de défense des animaux et connue sous le nom d'« Armée des douze singes ». Cole, qui est régulièrement hanté par le rêve d'une poursuite et du meurtre par balle d'un homme dans un aéroport sous les yeux d'un petit garçon, sera gracié s'il réussit cette mission."
12 Singes,12 Monkeys,2015,Picture 1566,Z,Z,"Nous sommes en l'an 2043. Les quelques milliers d'habitants qui restent sur notre planète sont contraints de vivre sous terre. La surface du globe est devenue inhabitable à la suite d'un virus ayant décimé 99% de la population. Les survivants mettent tous leurs espoirs dans un voyage à travers le temps pour découvrir les causes de la catastrophe et la prévenir. C'est James Cole, hanté depuis des années par une image incompréhensible, qui est désigné pour cette mission."
Les 12 Épreuves,12 Rounds,2009,Picture 621,K,K,"Miles Jackson et sa copine Erika se retrouvent, après un trafic de missiles, prêts à partir, afin de se faire une nouvelle vie en Nouvelle-Calédonie, mais dans une poursuite ""voiture"" contre ""piéton"" - dont le ""piéton"" est l'agent Danny Fisher - Erika trouve la mort en se faisant écraser par une voiture. Miles, avant de se faire arrêter par les autres policiers, venus à la rescousse, jure de se venger de l'agent Fisher. Un an plus tard, Danny et son coéquipier Hank ont été promus inspecteurs, et tout semble parfait dans le meilleur des mondes. Mais ce que Danny ne sait pas, c'est que Miles a réussi à s'évader de prison. Miles kidnappe Molly, la compagne de Danny, et lance un défi à ce dernier, ou plutôt douze défis. Si le policier veut récupérer Molly, il devra réussir les ""12 rounds"", que va lui imposer Miles. Aidé par deux agents du FBI, Danny va tenter de relever ce défi. Réussira-t-il, et si oui, Miles tiendra-t-il sa promesse de lui rendre sa femme en cas de succès ?"
Les 12 Épreuves 2 - Rechargé,12 Rounds 2 - Reloaded,2013,Picture 624,O,O,Nick Malloy est un ambulancier qui est confronté à un dangereux psychopathe qui lui impose 12 épreuves qu'il doit réussir en quelques heures afin de sauver la femme qui l'aime.
Les 12 Épreuves 3,12 Rounds 3 - Lockdown,2015,Picture 3874,C,C,Un agent de police rentre chez lui blessé après une journée de travail et découvre des preuves que ses proches sont liés à des activités criminelles. 
La Brigade des 12,12 Strong,2018,Picture 2261,A,A,"Le capitaine Mitch Nelson est le chef de l’unité des Forces Spéciales qui a été choisie pour une périlleuse mission secrète. Son détachement et lui sont envoyés en Afghanistan, en plein conflit armé, pour apporter leur aide aux Afghans dans leur lutte contre les talibans. "
Esclave Pendant Douze Ans,12 Years a Slave,2013,Picture 535,O,O,"En 1841, Solomon Northup est un homme libre qui vit avec sa femme et leurs deux enfants à Saratoga Springs, dans l'État de New York. Il gagne sa vie en tant que charpentier et joueur de violon. Un jour, il est approché par deux hommes, de prétendus artistes, qui le droguent et l'enchaînent avant de le vendre comme esclave.
Northup est envoyé par bateau à La Nouvelle-Orléans, où il est appelé « Platt » avant d'être acheté par le propriétaire d'une plantation du nom de William Ford. Bien qu'étant son esclave, Northup s'entend bien avec Ford, qui s'avère être un maître relativement bienveillant. Lorsque Solomon propose une nouvelle technique de transport des arbres à Ford, lui faisant économiser temps et moyens, ce dernier lui offre de bon cœur son violon. Mais le charpentier raciste employé par Ford, John Tibeats, est jaloux du succès de Northup et commence à lui mettre des bâtons dans les roues, le menaçant verbalement puis physiquement. Les tensions entre Tibeats et Northup atteignent leur paroxysme lorsque Tibeats le frappe et qu'il se défend. Pour se venger, Tibeats et deux de ses amis tentent de le lyncher. Pour le protéger du courroux de son charpentier, Ford est finalement contraint de revendre Northup à Edwin Epps, un propriétaire cruel et impulsif, convaincu que son droit de maltraiter ses esclaves est autorisé par la Bible."
127 Heures,127 Hours,2010,Picture 13,M,M,"Le 26 avril 2003, Aron Ralston (James Franco), jeune homme de vingt-sept ans, se met en route pour une randonnée dans les gorges de l’Utah.
Il est seul et n’a prévenu personne de son excursion. Alpiniste expérimenté, il collectionne les plus beaux sommets de la région. Pourtant, au fin fond d’un canyon reculé, l’impensable survient : au-dessus de lui un rocher se détache et coince son bras contre la paroi rocheuse du canyon. Le voilà pris au piège, menacé de déshydratation et d’hypothermie, en proie à des hallucinations…
Il pense à son ex-petite amie et à sa famille et se demande si les deux filles qu’il a rencontrées dans le canyon juste avant son accident seront les dernières.
Cinq jours plus tard, comprenant que les secours n’arriveront pas, il va devoir prendre la plus grave décision de son existence…"
12h01,12h01,1993,Picture 4492,D,D,Barry Thomas est technicien dans une compagnie de recherches scientifiques. Les chercheurs ont mis au point une nouvelle énergie. Une anomalie survient le jour de l'expérience provoquant un retour dans le temps : le même jour se répète chaque matin. Seul Barry peut faire quelque chose. Son enquête progresse. Qui est à la tête de ce projet machiavélique ? Arrivera-t-il à faire reprendre un cours normal au temps ? 
13 Assassins,13 Assassins,2010,Picture 15,M,M,Treize samouraïs sont recrutés pour une mission suicide: aller tuer un seigneur maléfique... 
13 Jeux de Mort,13 Game of Death,2006,Picture 1847,Z,,"Peu de temps après avoir perdu son emploi et sa petite amie, Puchit reçoit un mystérieux coup de téléphone qui l'invite à participer à un jeu, avec à la clé 100 millions de baths (environ 2 millions d'euros) à gagner. Mais pour rafler la mise, Puchit doit d'abord accomplir 13 épreuves... "
"13 Ans, Bientôt 30",13 Going on 30,2004,Picture 14,O,O,"Jenna Rink est une adolescente de 13 ans en pleine crise, elle se sent seule et sans vrais amies. Elle souhaite intégrer les Six Miss, le groupe de filles le plus tendance et pestes du collège, même si cela doit la forcer à s'écarter de son meilleur ami, Matt Flamhaff. Lucy, dite Tam Tam, chef des Six Miss, une vraie peste, profite de Jenna et de sa naïveté : elle lui joue un sale tour le jour de son 13e anniversaire. Jenna fait alors le souhait de devenir « une femme de 30 ans, sexy et épanouie ».
Contre tout espoir, son souhait se réalise, et Jenna découvre peu à peu sa nouvelle vie dans la peau d'une femme de 30 ans, mais avec le regard d'une fille de 13 ans. Elle est devenue une rédactrice très cotée, a réussi beaucoup de choses qu'elle entreprenait pendant son adolescence, possède l'appartement et la garde-robe dont elle rêvait. Mais elle s'aperçoit aussi que tout n'a pas été rose dans sa vie durant ces 17 ans, et que la personne qu'elle est devenue n'est pas du tout celle dont elle rêvait..."
13 Heures - Le Secret des Soldats de Benghazi,13 Hours - The Secret Soldiers of Benghazi,2016,Picture 25847,X,X,"Le 11 septembre 2012, 11 ans jour pour jour après les attentats du 11 septembre 2001, des terroristes attaquent la mission diplomatique des États-Unis et une base de la CIA à Benghazi, en Libye. Quatre Américains sont tués, dont l'ambassadeur des États-Unis en Libye J. Christopher Stevens. Cette attaque est repoussée par six agents de sécurité."
Treize Raisons,13 Reasons Why,2017,Picture 2241,A,A,"Inspirée des best-sellers de Jay Asher, 13 Reasons Why suit Clay Jensen, un adolescent qui découvre sous son porche au retour du lycée une mystérieuse boîte portant son nom. À l'intérieur, des cassettes enregistrées par Hannah Baker, une camarade de classe qui s'est tragiquement suicidée deux semaines auparavant. Les enregistrements révèlent que la jeune fille, dont il était amoureux, a décidé de mettre fin à ses jours pour treize raisons. Clay est-il l'une de ces raisons ? "
13 Sins,13 Sins,2014,Picture 24753,U,U,"Elliot traverse une très mauvaise passe. Sur le point de se marier et de devenir père, il vient d’être licencié et accumule les dettes - entre un prêt étudiant de 90 000 $ et les frais engendrés par le handicap mental de son petit frère… Un soir, il reçoit un mystérieux coup de téléphone : s’il est prêt à relever 13 défis en 48 heures, il recevra la coquette somme de 5 millions de dollars… Mais plus l’enjeu est grand, plus les risques sont élevés… "
La 14e Lame,14 Blades,2010,Picture 25265,V,V,Un thriller de kungfu qui se déroule pendant la dynastie des Ming et centré sur un agent des services secrets qui est trahi et traqué par ses collègues. 
1408,1408,2007,Picture 9,N,N,"Bien qu'il soit un auteur réputé de romans d'épouvante, Mike Enslin n'a jamais cru aux fantômes et aux esprits. Pour lui, la vie après la mort n'est que pure invention, et il a passé suffisamment de temps dans des maisons hantées et des cimetières pour le vérifier. En travaillant sur son dernier ouvrage, il découvre l'existence d'une chambre, la 1408 de l’hôtel Dolphin à New York, où se sont produites de nombreuses morts inexpliquées et souvent violentes. Malgré les mises en garde d'Olin, le directeur de l'hôtel, qui l'informe en détail sur les nombreuses morts étant survenues dans cette chambre, Enslin décide d'y passer une nuit. Olin lui offre alors une bouteille d'alcool.
Peu après son arrivée dans la chambre, des évènements bizarres commencent à s'y produire et un affichage numérique apparaît et commence un compte à rebours à partir de 60:00. Il croit au début qu'il s'agit d'un mauvais tour d'Olin mais, comme les phénomènes deviennent de plus en plus inquiétants, il cherche à quitter la chambre, pour se rendre compte que c'est devenu impossible. Les fantômes de personnes mortes dans la chambre viennent l'assaillir et il a également des visions de son père et de sa fille, morte très jeune. Enslin arrive à entrer brièvement en contact avec Lily, son ex-femme, avant que les forces surnaturelles de la chambre ne se déchaînent sur lui, épreuves entrecoupées de diverses visions, notamment de sa fille avec qui il converse. Lily est quant à elle attirée dans l'hôtel par un faux message de son ex-mari."
1421 - Comment les Chinois ont Découvert l'Amérique,1421 - The Year China Discovered America,2004,Picture 4278,D,,"Il y a 600 ans, Zheng He quittait le port de Nanjing, la capitale chinoise, pour sa première expédition maritime, à la tête d’une flotte forte de plus de 200 bateaux.
En moins de trente ans, ce grand navigateur chinois a mené six autres voyages du même genre. Il a accosté une trentaine de pays et de régions d’Asie et d’Afrique, apportant le message d’amitié et de paix prônée par l’empereur chinois de l’époque. Il pourrait avoir découvert l’Amérique 70 ans avant Christophe Colomb.
Pour étayer cette thèse, ce documentaire en deux volets s’appuie sur des cartes anciennes, la présence de vestiges, d’épaves et même l’ADN de peuples auxquels Zheng He et les membres de sa flotte ont été confrontés."
1492 - Christophe Colomb,1492 - Conquest of Paradise,1992,Picture 25158,V,V,"En 1492, à la fin de la Reconquista, les souverains espagnols donnent finalement leur accord à Christophe Colomb pour un projet qui a comme ambition d'ouvrir une nouvelle route maritime en direction des Indes en naviguant vers l'ouest. Mais le navigateur ne se doute pas que cette expédition va aboutir à une découverte insoupçonnée qui va rapidement dégénérer."
15 Minutes,15 Minutes,2001,Picture 16,N,N,"Lorsque deux corps sont découverts dans un appartement ravagé par le feu, Eddi Fleming, le flic le plus célèbre de New York, et Jordy Warsaw, spécialiste de la brigade des incendies, se retrouvent sur l'affaire. Leur enquête les conduit sur la piste de deux psychopathes, tout juste débarqués d'Europe de l'Est et bien décidés à vivre le rêve américain à travers le pouvoir des médias : en filmant leurs crimes, ils savent que ces images leur apporteront célébrité, richesse et même impunité s'ils tirent habilement partie des failles du système…"
16 Rues,16 Blocks,2006,Picture 17,N,N,"Jack est un inspecteur alcoolique du NYPD. De retour au poste un matin, après avoir gardé une scène de crime toute la nuit, il se voit confier une tâche relativement simple : escorter un témoin au tribunal, situé 16 blocs plus loin. Celui-ci doit y témoigner devant un grand jury avant 10 heures du matin, ce qui leur donne un peu moins de deux heures (118 minutes) pour se présenter à la cour.
Le témoin est Eddie Bunker (Mos Def), un moulin à paroles qui énerve rapidement Jack. Sur la route du tribunal, ils sont bloqués dans les embouteillages et attaqués par des inconnus. Jack et Eddie se réfugient dans un bar, Jack appelle du renfort. L'inspecteur Frank Nugent (David Morse), ex-partenaire de Jack, arrive avec plusieurs autres policiers. Il explique qu'Eddie est sur le point de témoigner contre un policier corrompu…"
Encore 17 Ans,17 Again,2009,Picture 23792,Q,Q,"Mike O'Donnell, un homme de 37 ans, trouve sa vie ennuyeuse et pathétique. Il se sépare de sa femme et vit avec son meilleur ami. Ses enfants le considèrent comme un looser. ""Si seulement on avait droit à une seconde chance ?"" Et il ne croyait pas si bien dire ! Son voeu va être exaucé.
Le lendemain matin, Mike découvre qu'il a à nouveau 17 ans! Bien décidé à réparer ses erreurs personnelles, il s'inscrit au lycée pour aider ses enfants. Mike s'aperçoit vite que sa fille est beaucoup moins sage qu'elle ne parait et que son fils, Alex, est le bouc-émissaire de l'athlète de l'école.
Son adolescence était bien différente de celle d'aujourd'hui ! "
187,187,1997,Picture 24957,U,U,"A la suite d'une altercation avec un élève particulièrement instable, Trevor Garfield, un professeur de biologie dévoué à sa tâche, est agressé à coups de couteau. "
1898 Les Derniers des Philippines,1898 Our Last Men in the Philippines,2016,Picture 3405,C,,"Un épisode de la guerre des Philippines en 1898, base sur une histoire vécue. La garnison espagnole du Fort Baler, assiégée par les Tagalos, tiendra une année entière alors que la paix a été signée en Europe, entérinant la perte des Philippines par l'Espagne."
"1911, Révolution","1911, Revolution",2011,Picture 25336,V,,"Le 10 octobre 1911, des militaires s'insurgent dans une caserne de Wuhan. Dès le lendemain, les rebelles contrôlent la ville. Ce mouvement est le point de départ d'un soulèvement politique plus vaste, qui aboutira au renversement de la dynastie des Qing, au pouvoir depuis 268 ans. C'est la révolution Xinhai ; elle marque la naissance de la République de Chine. "
1917,1917,2019,Picture 3728,C,C,"Pris dans la tourmente de la Première Guerre Mondiale, Schofield et Blake, deux jeunes soldats britanniques, se voient assigner une mission à proprement parler impossible. Porteurs d’un message qui pourrait empêcher une attaque dévastatrice et la mort de centaines de soldats, dont le frère de Blake, ils se lancent dans une véritable course contre la montre, derrière les lignes ennemies. "
1917 - La Révolution Russe,1917 - La Révolution Russe,2007,Picture 4251,D,,"Événement majeur du XXème siècle, la Révolution Russe de 1917 garde encore une grande part de mystère. Longtemps cachés ou magnifiés par le régime communiste, beaucoup de faits restent méconnus et leur analyse suscite aujourd’hui encore débats et interprétations contradictoires..."
1922,1922,2017,Picture 2307,A,A,Une série de phénomènes persuadent un homme qu'il est hanté par son épouse dont il a commis le meurtre. 
1941,1941,1979,Picture 23836,R,R,"En 1941, alors que les Américains décident d'entrer en guerre, un sous-marin japonais fait surface au large de Los Angeles. Face à cette menace, les habitants de Hollywood tentent vainement d'organiser la résistance... "
"1944, Frères Ennemis","1944, Brothers Enemies",2015,Picture 3004,B,B,"Juillet 1944, Bataille de Tannenberg. Alors que l’Armée Rouge gagne du terrain sur les lignes allemandes, les soldats estoniens, pris en étau, sont contraints de rejoindre l'un des deux camps. Dans ce combat qui n'est pas le leur, ils feront la guerre à leurs propres frères... "
"1979, l'Année qui a Changé le Monde","1979, l'Année qui a Changé le Monde",2019,Picture 4405,D,,"C'était il y a quarante ans. Un documentaire, à voir sur Arte, passe en revue les événements majeurs d'une année qui a façonné notre présent. De Téhéran à Pékin et de Londres à Varsovie, un éclairage passionnant nourri d'images d'archives et de témoignages de premiers plan. "
1984,1984,1984,Picture 2066,R,R,"Manipulant et contrôlant les moindres détails de la vie de ses sujets, Big Brother est le chef spirituel d'Oceania, l'un des trois Etats dont la capitale est Londres. Le bureaucrate Winston Smith travaille dans l'un des départements. Mais un jour il tombe amoureux de Julia, ce qui est un crime. Tous les deux vont tenter de s'échapper, mais dans ce monde cauchemardesque divisé en trois, tout être qui se révolte est brisé. "
Les Guerriers du Bronx,"1990, The Bronx Warriors",1982,Picture 26070,Z,X,"Le Bronx des annees 1990 est devenue une zone interdite, refuge des criminels et des marginaux. Ann une jeune fille de la bourgeoisie de Manhattan s'y refugie. Trash et ses Riders la prennent sous leur protection. "
1BR,1BR,2019,Picture 4765,D,D,"Laissant derrière elle un passé douloureux, Sarah veut poursuivre ses rêves ailleurs et déniche l’appartement parfait à Hollywood. Mais quelque chose cloche. Incapable de passer une nuit sans entendre d’étranges bruits stridents et menaçants, sa nouvelle vie commence plutôt mal. Le temps qu’elle découvre la sinistre vérité, il est déjà trop tard. Prise dans un cauchemar éveillé, Sarah doit trouver la force de s’accrocher à sa raison… ou rester à jamais prisonnière d’un enfer existentiel. "
2 22,2 22,2017,Picture 2040,A,A,"Après avoir évité de justesse un crash aérien à 2h22, Dylan, un contrôleur aérien à la vie jusqu’alors bien réglée, voit son quotidien perturbé par une série de coïncidences étranges qui le conduisent inéluctablement au hall de la gare de Grand Central, à 2h22. Dylan est persuadé que son destin et celui de Sarah – une jeune femme dont il vient de tomber amoureux – sont liés, et que ces événements répétés sont en fait des signes prémonitoires. A eux de percer le mystère du temps. "
