Titre Français,Titre Anglais,Année,Pochette,Disque Français,Disque Anglais,Act,Anim,Aven,Bio,Bonus,Com,Crime,Doc,Drame,Fant,Guer,Hist,Hor,Mus,Myst,Rom,Sc-Fi,Série,Spec,Sport,Thril,West,Note,Nombre de Voteurs,Durée,Producteur,En Vedette,Audio Français,Audio Anglais,Traité,Double,Dernier Épisode Visionné,3D,Année(s) saison,Dernière saison,Produit / Créé par,Adresse Résumé,Nouveau,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Source,Y,Film Étranger,Mini Série,Z,A,B,Catastrophe,Version Originale,C,Bestiole,Tous,Vue,Pas Vue,Adresse Séries,Coup de Coeur,Série En Cours,Série Complété,Espion,Antique,Politique,Procès,Super-Héros,Tueur en Série,Vampire,Zombie,Terroriste,Sorcellerie,Asiatique,Érotique,Nouveauté,D,Scientifique,Archéologie,Mon Vote,Commentaires Jules,Société,Religion,Format,Commentaires Gérald,QTP,E,Nouv Com Jules,Nouv Com Gérald,Extraterrestre,Sélection du Jour
Evil Dead Rise,Evil Dead Rise,2023,Picture 6039,E,E,,,,,,,,,,,,,X,,,,,,,,X,,7.1,36000,96,​Lee Cronin,"​Mirabai Pease, ​Richard Crouchley, ​Anna-Maree Thomas",K:\Evil Dead Rise\Evil.Dead.Rise.mkv,K:\Evil Dead Rise\Evil.Dead.Rise.mkv,X,,,,,,,10454,,,,,,,,,,,,,,,,,L3,,,,,,,,Anglais,,,X,X,,,X,,,,,,,,,,,,,,,,,,,V,Wow. Un super de bon film d'horreur comme je les aimes. Parmis les meilleurs que j'ai vus. De l'horreur très sanglant dès le début. Un gros coup de coeur. Je donne 8.0,,,,,,X,,,,
Silence Radio,Ghosted,2023,Picture 6014,E,E,X,,X,,,X,,,,,,,,,,X,,,,,,,5.8,32000,116,​Dexter Fletcher,"​Chris Evans, ​Ana de Armas, ​Adrien Brody",K:\Silence Radio\Ghosted.mkv,K:\Silence Radio\Ghosted.mkv,O,,,,,,,10429,,,,,,,,,,,,,,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
Hezbollah - L'Enquête Interdite,Hezbollah - L'Enquête Interdite,2023,Picture 5881,E,,,,,,,,,X,,,X,,,,,,,,,,,,7.0,2,58,"Jérôme Fritel, Sofia Amara",,,,X,,,,,2023,P,10296,,,,,,,,,,,,,,,,,Sel,,,X,,,,,,,,X,,X,6,,,,,,X,,,,,,,,,,,,,,,,,,,,,X,,,,
Débordement,Infinity Pool,2023,Picture 5951,E,E,,,,,,,X,,X,,,,X,,X,,X,,,,,,6.1,22000,117,​Brandon Cronenberg,"​Alexander Skarsgård, ​Mia Goth, ​Cleopatra Coleman",E:\Débordement\Infinity.Pool.mkv,E:\Débordement\Infinity.Pool.mkv,X,,,,,,,10366,,,,,,,,,,,,,,,,,L2,,,,,,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,R,Scénario très très original. Trop bizarre à mon goût.,,,,,,X,,,,
Enfermé,Inside,2023,Picture 5974,E,E,,,,,,,,,X,,,,,,,,,,,,X,,5.6,5800,105,​Vasilis Katsoupis,"​Willem Dafoe, ​Gene Bervoets, ​Eliza Stuyck",K:\Enfermé\Inside.mkv,K:\Enfermé\Inside.mkv,O,,,,,,,10390,,,,,,,,,,,,,,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
La Révolution de Jésus,Jesus Revolution,2023,Picture 5999,E,E,,,,,,,,,X,,,,,,,,,,,,,,7.4,5700,120,"​Jon Erwin, ​Brent McCorkle","​Joel Courtney, ​Jonathan Roumie, ​Kimberly Williams-Paisley",K:\La Révolution de Jésus\Jesus.Revolution.mkv,K:\La Révolution de Jésus\Jesus.Revolution.mkv,X,,,,,,,10415,,,,,,,,,,,,,,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
Jung_E,Jung_E,2023,Picture 5890,E,E,X,,,,,,,,X,,,,,,,,X,,,,,,5.4,7627,96,​Sang-ho Yeon,"​Lee Dong-Hee, ​Lee Ga-Kyung, ​Woo-Yeol Han",L:\Jung_E\JUNG_E.mkv,L:\Jung_E\JUNG_E.mkv,X,,,,,,,10305,,,,,,,,,,,,,,,,,L2,,,,,,,,Coréen,,,X,X,,,,,,,,,,,,,,,,X,,,,,,J,Décevant. Beaucoup trop dramatique à mon goût. Bonne grosse science-fiction mais juste un peu d'action dans les dernières minutes du film.,,,,,,X,X,,,
Kill Bok-soon,Kill Bok-soon,2023,Picture 5970,E,E,X,,,,,,X,,X,,,,,,,,,,,,,,6.6,5700,137,​Sung-hyun Byun,"​Jeon Do-yeon, ​Esom, ​Koo Kyo-hwan",L:\Kill Bok-soon\Kill.Bok.Soon.mkv,L:\Kill Bok-soon\Kill.Bok.Soon.mkv,X,,,,,,,10386,,,,,,,,,,,,,,,,,L2,,,,,,,,Anglais,,,X,X,,,,,,,,,,,,,,,,X,,,,,,R,Pas beaucoup d'action. Davantage un film dramatique. Je m'attendais à plus surtout après des commentaires à la radio qui comparaient Bok-soon à John Wick. Elle ne lui arrive pas à la cheville.,,,,,,X,,,,
La Cabane Isolée,Knock at the Cabin,2023,Picture 5928,E,E,,,,,,,,,X,,,,,,X,,,,,,X,,6.1,57000,100,​M. Night Shyamalan,"​Dave Bautista, ​Jonathan Groff, ​Ben Aldridge",K:\La Cabane Isolée\Knock.at.the.Cabin.mkv,K:\La Cabane Isolée\Knock.at.the.Cabin.mkv,X,,,,,,,10343,,,,,,,,,,,,,,,,,L3,,,,,,,X,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,V,Très bon thriller. Un scénario très original. De l'action dès le début. Captivant jusqu'à la fin.,,,,,,X,,,,
La Petite Fille au Napalm - Histoire d'une Photographie,La Petite Fille au Napalm - Histoire d'une Photographie,2023,Picture 5989,E,,,,,,,,,X,,,,X,,,,,,,,,,,7.0,2,52,"Eric Bitoun, Adèle Ménard",Alexis Michalik,E:\La Petite Fille au Napalm - Histoire d'une Photographie\La.Petite.Fille.Au.Napalm.Histoire.d.Une.Photographie.mkv,,X,,,,,,,10405,,,,,,,,,,,,,,,,,Sel,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
"L'Arctique, une Région Bouleversée","L'Arctique, une Région Bouleversée",2023,Picture 5879,E,,,,,,,,,X,,,,,,,,,,,,,,,7.0,2,91,​Freddie Röckenhaus,​Benjamin Völz,"L:\L'Arctique, une Région Bouleversée\L.Arctique.Une.Region.Bouleversee.mkv",,X,,,,,,,10294,,,,,,,,,,,,,,,,,L2,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,J,De très belles images de l'Arctique.,,,,,,X,X,,,
Les Évangéliques à la Conquête du Monde,Les Évangéliques à la Conquête du Monde,2023,Picture 5960,E,,,,,,,,,X,,,,,,,,,,,,,,,7.0,2,52,Thomas Johnson,Samuel Labarthe,,,X,,,,,2023,,10375,,,,,,,,,,,,,,,,,L3,,,X,,,,,,,,X,X,,10,X,,,,,,,,,,,,,,,,,,,V,Excellente série. Très instructif. Ce que j'aime le plus dans ces épisodes c'est qu'ils décrivent en étant impartial les aspects positifs et négatifs de ce mouvement religieux. Un vrai bon coup de coeur.,X,X,,,,X,,,,
Les Volcans les Plus Dangereux du Monde,Les Volcans les Plus Dangereux du Monde,2023,Picture 6020,E,,,,,,,,,X,,,,,,,,,,,,,,,7.0,2,51,Léa Schlesinger,Virginie Bodin,K:\Les Volcans les Plus Dangereux du Monde\Les.Volcans.Les.Plus.Dangereux.Du.Monde.mkv,,X,,,,,,,10435,,,,,,,,,,,,,,,,,L3,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,X,,V,Très bon. Les explications sont claires. Instructifs.,,,,,,X,,,,
Louis-José Houde - Mille Mauvais Choix,Louis-José Houde - Mille Mauvais Choix,2023,Picture 5998,E,,,,,,,X,,,,,,,,,,,,,X,,,,7.0,2,69,Rafaël Ouellet,Louis-José Houde,E:\Louis-José Houde - Mille Mauvais Choix\Louis.Jose.Houde.Mille.Mauvais.Choix.mkv,,X,,,,,,,10414,,,,,,,,,,,,,,,,,Sel,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
Luther - Soleil Déchu,Luther - The Fallen Sun,2023,Picture 5941,E,E,,,,,,,X,,X,,,,,,,,,,,,X,,6.4,35000,129,​Jamie Payne,"​Idris Elba, ​Cynthia Erivo, ​Andy Serkis",L:\Luther - Soleil Déchu\Luther.The.Fallen.Sun.mkv,L:\Luther - Soleil Déchu\Luther.The.Fallen.Sun.mkv,X,,,,,,,10356,,,,,,,,,,,,,,,,,L3,,,,,,,,Anglais,,,X,X,,,,,,,,,,,X,,,,,,,,,,,V,Excellent thriller policier. Très bonne intrigue. Scénario captivant. Ça me donne le goût d'écouter la série Luther avec le même acteur dams le rôle de Luther.,,,,,,X,,,,
Ant-Man et la Guêpe 3 - Quantumania,Marvel 350 - Ant-Man and the Wasp 3 - Quantumania,2023,Picture 6005,E,E,X,,X,,,,,,,,,,,,,,X,,,,,,6.2,129000,124,​Peyton Reed,"​Paul Rudd, ​Evangeline Lilly, ​Michael Douglas",K:\Ant-Man et la Guêpe 3 - Quantumania\Ant.Man.and.the.Wasp.Quantumania.mkv,K:\Ant-Man et la Guêpe 3 - Quantumania\Ant.Man.and.the.Wasp.Quantumania.mkv,X,,,,,,,10420,,,,,,,,,,,,,,,,,L3,,,,,,,,Anglais,,,X,X,,,,,,,,,,X,,,,,,,,,,,,V,Un autre excellent Marvel. De la très grosse science-fiction avec un monde subatomique des plus invraisemblable mais aussi très impressionnant. Amusant par moment. Je donne 7.3,,,,,,X,,,,
Mégantic,Mégantic,2023,Picture 5882,E,,,,,,,,,,X,,,X,,,,,,,,,,,8.5,52,58,Alexis Durand-Brault    ,"​Duane Murray, ​Catherine Paquin-Bechard, ​Karl Farah",,,X,,,,,2023,P,10297,,,,,,,,,,,,,,,,,Sel,,,X,,,,,,,,X,,X,14,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
Murder Mystery 2,Murder Mystery 2,2023,Picture 5968,E,E,X,,X,,,X,X,,,,,,,,,,,,,,,,5.6,38000,90,​Jeremy Garelick,"​Adam Sandler, ​Jennifer Aniston, ​Mark Strong",L:\Murder Mystery 2\Murder.Mystery.2.mkv,L:\Murder Mystery 2\Murder.Mystery.2.mkv,O,,,,,,,10384,,,,,,,,,,,,,,,,,L3,,,,,,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,V,Bien meilleur que le film précédent. Pas mal plus amusant. Je donne 6.5,,,,,,X,,,,
One Day as a Lion,One Day as a Lion,2023,Picture 5979,E,E,X,,,,,,,,,,,,,,,,,,,,X,,5.4,404,87,​John Swab,"​Frank Grillo, ​Virginia Madsen, ​J.K. Simmons",K:\One Day as a Lion\One.Day.As.A.Lion.mkv,K:\One Day as a Lion\One.Day.As.A.Lion.mkv,X,,,,,,,10395,,,,,,,,,,,,,,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
Operation Fortune - Ruse de Guerre,Operation Fortune - Ruse de Guerre,2023,Picture 5982,E,E,X,,X,,,X,,,,,,,,,,,,,,,,,6.3,40000,114,​Guy Ritchie,"​Jason Statham, ​Aubrey Plaza, ​Cary Elwes",K:\Operation Fortune - Ruse de Guerre\Operation.Fortune.Ruse.De.Guerre.mkv,K:\Operation Fortune - Ruse de Guerre\Operation.Fortune.Ruse.De.Guerre.mkv,O,,,,,,,10398,,,,,,,,,,,,,,,,,L3,,,,,,,,Anglais,,,X,X,,,,,,X,,,,,,,,,,,,,,,,V,Très bon film d'action. En plus c'est amusant. J'aime bien Jason Statham.,,,,,,X,,,,
Pamela - A Love Story,Pamela - A Love Story,2023,Picture 5993,E,E,,,,X,,,,X,,,,,,,,,,,,,,,7.2,11000,112,​Ryan White,"​Pamela Anderson, ​Fran Drescher, ​Alexandra Paul","E:\Pamela - A Love Story\Pamela, a love story.mkv","E:\Pamela - A Love Story\Pamela, a love story.mkv",X,,,,,,,10409,,,,,,,,,,,,,,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
Phenomena,Phenomena,2023,Picture 6002,E,E,,,,,,,,,X,,,,X,,,,,,,,X,,5.4,566,94,​Carlos Therón,"​Belén Rueda, ​Gracia Olayo, ​Toni Acosta",K:\Phenomena\Fenomenas.mkv,K:\Phenomena\Fenomenas.mkv,X,,,,,,,10417,,,,,,,,,,,,,,,,,L1,,X,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
Mayday,Plane,2023,Picture 5918,E,E,X,,X,,,,,,,,,,,,,,,,,,X,,6.5,30102,107,​Jean-François Richet,"​Gerard Butler, ​Mike Colter, ​Tony Goldwyn",L:\Mayday\Plane.mkv,L:\Mayday\Plane.mkv,X,,,,,,,10333,,,,,,,,,,,,,,,,,L3,,,,,,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,V,Très bon film d'action. Palpitant du début à la fin. Je donne 7.5,,,,,,X,X,,,
Power Rangers 2 - Toujours Vers le Futur,Power Rangers 2 - Once & Always,2023,Picture 6006,E,E,X,,X,,,,,,,,,,,,,,X,,,,,,5.8,4900,55,​Charlie Haskell,"​Walter Jones, ​Steve Cardenas, ​Catherine Sutherland",K:\Power Rangers 2 - Toujours Vers le Futur\Power Rangers - Toujours vers le futur.mkv,K:\Power Rangers 2 - Toujours Vers le Futur\Power Rangers - Toujours vers le futur.mkv,X,,,,,,,10421,,,,,,,,,,,,,,,,,L1,,,,,,,,Anglais,,,X,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,
Renfield,Renfield,2023,Picture 6028,E,E,,,,,,X,X,,,X,,,X,,,,,,,,,,6.4,25000,93,​Chris McKay,"​Nicholas Hoult, ​Nicolas Cage, ​Awkwafina",K:\Renfield\Renfield.mkv,K:\Renfield\Renfield.mkv,O,,,,,,,10443,,,,,,,,,,,,,,,,,L3,,,,,,,,Anglais,,,X,X,,,X,,,,,,,,,,,,,,,,,,,V,Très très bon film. Scénario et mise en scène excellents. En plus d'être un film d'horreur ben sanglant c'est aussi un film très drôle; j'ai souvent éclaté de rire. Je donne 7.5,,,,,,X,,,,
Rocky 9 - Creed 3,Rocky 9 - Creed 3,2023,Picture 5967,E,E,,,,,,,,,X,,,,,,,,,,,X,,,7.0,47000,116,​Michael B. Jordan,"​Michael B. Jordan, ​Tessa Thompson, ​Jonathan Majors",L:\Rocky 9 - Creed 3\Creed.III.mkv,L:\Rocky 9 - Creed 3\Creed.III.mkv,X,,,,,,,10383,,,,,,,,,,,,,,,,,L1,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
San Andreas - L'Apocalypse en Californie,San Andreas - L'Apocalypse en Californie,2023,Picture 6008,E,,,,,,,,,X,,,,,,,,,,,,,,,7.0,2,52,Sandrine Mary,Hervé Laceoix,K:\San Andreas - L'Apocalypse en Californie\San.Andreas.L.Apocalypse.En.Californie.mkv,,X,,,,,,,10423,,,,,,,,,,,,,,,,,L3,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,X,,J,Très bon documentaire. Explication claire. Instructif.,,,,,,X,,,,
Sayen,Sayen,2023,Picture 5935,E,E,X,,,,,,,,,,,,,,,,,,,,,,4.6,549,94,​Alexander Witt,"​Rallen Montenegro, ​Enrique Arce, ​Roberto García Ruiz",L:\Sayen\Sayen.mkv,L:\Sayen\Sayen.mkv,X,,,,,,,10350,,,,,,,,,,,,,,,,,Sel,,X,,,,,,Espagnol,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
Frissons 6,Scream 6,2023,Picture 6018,E,E,,,,,,,X,,X,,,,,,X,,,,,,X,,6.7,66000,122,"​Matt Bettinelli-Olpin, ​Tyler Gillett","​Courteney Cox, ​Melissa Barrera, ​Jenna Ortega",K:\Frissons 6\Scream.6.mkv,K:\Frissons 6\Scream.6.mkv,O,,,,,,,10433,,,,,,,,,,,,,,,,,L3,,,,,,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,J,Différent des autres films de cette franchise. Davantage crime. Dans la deuxième partie du film il y a quelques bonnes scènes assez sanglantes proche de l'horreur.,,,,,,X,,,,
Sharper,Sharper,2023,Picture 5912,E,E,,,,,,,X,,X,,,,,,,,,,,,X,,6.6,5543,116,​Benjamin Caron,"​Justice Smith, ​Briana Middleton, ​Sebastian Stan",L:\Sharper\Sharper.mkv,L:\Sharper\Sharper.mkv,X,,,,,,,10327,,,,,,,,,,,,,,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
Shazam 2 - La Rage des Dieux,Shazam 2 - Fury of the Gods,2023,Picture 5981,E,E,X,,X,,,X,,,,X,,,,,,,,,,,,,6.2,49000,130,​David F. Sandberg,"​Zachary Levi, ​Asher Angel, ​Jack Dylan Grazer",K:\Shazam 2 - La Rage des Dieux\Shazam.Fury.of.the.Gods.mkv,K:\Shazam 2 - La Rage des Dieux\Shazam.Fury.of.the.Gods.mkv,X,,,,,,,10397,,,,,,,,,,,,,,,,,L3,,,,,,,,Anglais,,,X,X,,,,,,,,,,X,,,,,,,,,,,,V,"Très très bon. Beaucoup d'action, des trucages excellents et de bonnes pointes d'humour. Que demander de plus. Au moins 7.5",,,,,,X,,,,
Super Bowl LVII,Super Bowl LVII,2023,Picture 5997,E,,,,,,,,,,,,,,,,,,,,X,X,,,7.3,105,185,"Davies Chirwa, Mitchell McIntire ","​Bradley Cooper, ​Kevin Costner, ​Gordon Ramsay",E:\Super Bowl LVII\NFL.2023.SuperBowl..mkv,,X,,,,,,,10413,,,,,,,,,,,,,,,,,Sel,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
Supervolcan Yellowstone - Menace sur la Planete,Supervolcan Yellowstone - Menace sur la Planete,2023,Picture 6035,E,,,,,,,,,X,,,,,,,,,,,,,,,7.0,2,51,Vivien Floris,Alain Ghazal,K:\Supervolcan Yellowstone - Menace sur la Planete\Supervolcan.Yellowstone.Menace.Sur.La.Planete.mkv,,X,,,,,,,10450,,,,,,,,,,,,,,,,,L3,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,X,,J,Très bon documentaire. Instructif.,,,,,,X,,,,
Tetris,Tetris,2023,Picture 5969,E,E,,,,X,,,,,X,,,X,,,,,,,,,X,,7.4,29000,118,​Jon S. Baird,"​Taron Egerton, ​Mara Huf, ​Miles Barrow",L:\Tetris\Tetris.mkv,L:\Tetris\Tetris.mkv,X,,,,,,,10385,,,,,,,,,,,,,,,,,L1,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
Le Dernier Royaume - Sept Rois Doivent Mourir,The Last Kingdom - Seven Kings Must Die,2023,Picture 6003,E,E,X,,X,,,,,,X,,,X,,,,,,,,,,,7.3,8100,111,​Edward Bazalgette,"​Mark Rowley, ​Pekka Strang, ​Zoltan Andrasi",K:\Le Dernier Royaume - Sept Rois Doivent Mourir\The.Last.Kingdom.Seven.Kings.Must.Die.mkv,K:\Le Dernier Royaume - Sept Rois Doivent Mourir\The.Last.Kingdom.Seven.Kings.Must.Die.mkv,X,,,,,,,10418,,,,,,,,,,,,,,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,,,,
The Last of Us,The Last of Us,2023,Picture 5924,E,E,X,,X,,,,,,X,,,,X,,,,X,X,,,X,,8.9,346000,50,"​Neil Druckmann, ​Craig Mazin","​Pedro Pascal, ​Bella Ramsey, ​Anna Torv",,,X,,,,,,C,10339,,,,,,,,,,,,,,,,,Sel,,,,,,,,Anglais,,,X,,X,23,,X,,,,,,,,,X,,,,,,,,,,,,,,,,X,,,,
L'Exorciste du Vatican,The Pope's Exorcist,2023,Picture 6029,E,E,,,,,,,,,,,,,X,,,,,,,,X,,6.1,21000,103,​Julius Avery,"​Russell Crowe, ​Daniel Zovatto, ​Alex Essoe",K:\L'Exorciste du Vatican\The.Popes.Exorcist.mkv,K:\L'Exorciste du Vatican\The.Popes.Exorcist.mkv,O,,,,,,,10444,,,,,,,,,,,,,,,,,L3,,,,,,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,V,Très très bon film de possession démoniaque. Plusieurs scènes d'horreur assez intense. Je donne 7.2,,,,,,X,,,,
There's Something Wrong with the Children,There's Something Wrong with the Children,2023,Picture 5888,E,E,,,,,,,,,X,,,,X,,X,,,,,,X,,4.9,2477,92,​Roxanne Benjamin,"​Alisha Wainwright, ​Amanda Crew, ​Carlos Santos",L:\There's Something Wrong with the Children\Theres.Something.Wrong.With.The.Children.mkv,L:\There's Something Wrong with the Children\Theres.Something.Wrong.With.The.Children.mkv,X,,,,,,,10303,,,,,,,,,,,,,,,,,L3,,,,,,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,V,Excellent thriller. Très bon scénario. Beaucoup de mystère au début avec de l'horreur les 30 dernières minutes. Je donne 6.5,,,,,,X,X,,,
